2018-06-06 11:15:28,903 INFO     [14595] (deoplete.logging) --- Deoplete Log Start ---
2018-06-06 11:15:28,904 INFO     [14595] (deoplete.logging) NVIM v0.2.2, Python 3.6.5, neovim client 0.2.6
2018-06-06 11:15:28,910 DEBUG    [14595] (deoplete.core) on_event: Init
2018-06-06 11:15:28,927 DEBUG    [14595] (deoplete.core) Process 0: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/base.py
2018-06-06 11:15:28,928 DEBUG    [14595] (deoplete.core) Process 1: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/buffer.py
2018-06-06 11:15:28,928 DEBUG    [14595] (deoplete.core) Process 2: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/tag.py
2018-06-06 11:15:28,928 DEBUG    [14595] (deoplete.core) Process 3: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/omni.py
2018-06-06 11:15:28,928 DEBUG    [14595] (deoplete.core) Process 0: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py
2018-06-06 11:15:28,928 DEBUG    [14595] (deoplete.core) Process 1: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/dictionary.py
2018-06-06 11:15:28,928 DEBUG    [14595] (deoplete.core) Process 2: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/file.py
2018-06-06 11:15:28,928 DEBUG    [14595] (deoplete.core) Process 3: /home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/member.py
2018-06-06 11:15:28,929 DEBUG    [14595] (deoplete.core) Process 0: /home/alexvanaxe/.config/nvim/plugged/deoplete-jedi/rplugin/python3/deoplete/sources/deoplete_jedi.py
2018-06-06 11:15:28,929 DEBUG    [14595] (deoplete.core) Process 1: /home/alexvanaxe/.config/nvim/plugged/ultisnips/rplugin/python3/deoplete/sources/ultisnips.py
2018-06-06 11:15:28,930 DEBUG    [14595] (deoplete.core) Process 2: /home/alexvanaxe/.config/nvim/plugged/nvim-typescript/rplugin/python3/deoplete/sources/typescript.py
2018-06-06 11:15:28,930 DEBUG    [14595] (deoplete.core) Process 3: /home/alexvanaxe/.config/nvim/plugged/django-plus.vim/rplugin/python3/deoplete/sources/django.py
2018-06-06 11:15:29,059 INFO     [14598] (deoplete.logging) --- Deoplete Log Start ---
2018-06-06 11:15:29,059 INFO     [14598] (deoplete.logging) NVIM v0.2.2, Python 3.6.5, neovim client 0.2.6
2018-06-06 11:15:29,060 DEBUG    [14598] (deoplete.child) main_loop: end
2018-06-06 11:15:29,060 DEBUG    [14598] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,060 DEBUG    [14598] (deoplete.child) main_loop: end
2018-06-06 11:15:29,061 DEBUG    [14598] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,061 DEBUG    [14598] (deoplete.child) Loaded Source: around (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py)
2018-06-06 11:15:29,061 DEBUG    [14598] (deoplete.child) main_loop: end
2018-06-06 11:15:29,061 DEBUG    [14598] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,066 INFO     [14599] (deoplete.logging) --- Deoplete Log Start ---
2018-06-06 11:15:29,066 INFO     [14599] (deoplete.logging) NVIM v0.2.2, Python 3.6.5, neovim client 0.2.6
2018-06-06 11:15:29,067 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,067 DEBUG    [14599] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,068 INFO     [14600] (deoplete.logging) --- Deoplete Log Start ---
2018-06-06 11:15:29,068 DEBUG    [14599] (deoplete.child) Loaded Source: buffer (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/buffer.py)
2018-06-06 11:15:29,068 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,068 DEBUG    [14599] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,068 INFO     [14600] (deoplete.logging) NVIM v0.2.2, Python 3.6.5, neovim client 0.2.6
2018-06-06 11:15:29,068 DEBUG    [14599] (deoplete.child) Loaded Source: dictionary (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/dictionary.py)
2018-06-06 11:15:29,068 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,068 DEBUG    [14599] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,069 DEBUG    [14599] (deoplete.child) Loaded Source: ultisnips (/home/alexvanaxe/.config/nvim/plugged/ultisnips/rplugin/python3/deoplete/sources/ultisnips.py)
2018-06-06 11:15:29,069 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,069 DEBUG    [14599] (deoplete.child) main_loop: set_source_attributes begin
2018-06-06 11:15:29,069 DEBUG    [14600] (deoplete.child) main_loop: end
2018-06-06 11:15:29,069 DEBUG    [14600] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,069 DEBUG    [14600] (deoplete.child) Loaded Source: tag (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/tag.py)
2018-06-06 11:15:29,070 DEBUG    [14600] (deoplete.child) main_loop: end
2018-06-06 11:15:29,070 DEBUG    [14600] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,070 DEBUG    [14600] (deoplete.child) Loaded Source: file (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/file.py)
2018-06-06 11:15:29,070 DEBUG    [14600] (deoplete.child) main_loop: end
2018-06-06 11:15:29,070 DEBUG    [14600] (deoplete.child) main_loop: add_source begin
2018-06-06 11:15:29,071 DEBUG    [14598] (deoplete.child) Loaded Source: jedi (/home/alexvanaxe/.config/nvim/plugged/deoplete-jedi/rplugin/python3/deoplete/sources/deoplete_jedi.py)
2018-06-06 11:15:29,071 DEBUG    [14598] (deoplete.child) main_loop: end
2018-06-06 11:15:29,071 DEBUG    [14598] (deoplete.child) main_loop: set_source_attributes begin
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: add_filter begin
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: add_filter begin
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) Loaded Filter: converter_auto_delimiter (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_auto_delimiter.py)
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: add_filter begin
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) Loaded Filter: converter_truncate_abbr (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_truncate_abbr.py)
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,072 DEBUG    [14599] (deoplete.child) main_loop: add_filter begin
2018-06-06 11:15:29,072 DEBUG    [14600] (deoplete.child) Loaded Source: typescript (/home/alexvanaxe/.config/nvim/plugged/nvim-typescript/rplugin/python3/deoplete/sources/typescript.py)
2018-06-06 11:15:29,072 DEBUG    [14598] (deoplete.child) main_loop: end
2018-06-06 11:15:29,072 DEBUG    [14600] (deoplete.child) main_loop: end
2018-06-06 11:15:29,073 DEBUG    [14598] (deoplete.child) main_loop: add_filter begin
2018-06-06 11:15:29,073 DEBUG    [14599] (deoplete.child) Loaded Filter: converter_remove_paren (/home/alexvanaxe/.config/nvim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_remove_paren.py)
2018-06-06 11:15:29,073 DEBUG    [14600] (deoplete.child) main_loop: set_source_attributes begin
2018-06-06 11:15:29,073 DEBUG    [14599] (deoplete.child) main_loop: end
2018-06-06 11:15:29,073 DEBUG    [14599] (deoplete.child) main_loop: add_filter begin
2018-06-06 11:15:29,073 DEBUG    [14598] (deoplete.child) main_loop: end
